Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/accounts,49,0,9000.0,10169.16522491838,7115.815017001296,16550.15396899944,913.0,0.8617168800443676,0.0,9000,10000,11000,13000,15000,16000,17000,17000,17000,17000,17000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T07%3A24%3A02.845886%2B00%3A00,1,0,21644.854512000165,21644.854512000165,21644.854512000165,21644.854512000165,54.0,0.017586058776415666,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T07%3A24%3A03.631920%2B00%3A00,1,0,20860.91702399972,20860.91702399972,20860.91702399972,20860.91702399972,54.0,0.017586058776415666,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T07%3A24%3A06.988389%2B00%3A00,1,0,21618.43892199977,21618.43892199977,21618.43892199977,21618.43892199977,54.0,0.017586058776415666,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T07%3A24%3A07.112246%2B00%3A00,1,0,24176.10812299972,24176.10812299972,24176.10812299972,24176.10812299972,54.0,0.017586058776415666,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T07%3A24%3A08.556157%2B00%3A00,1,0,22723.785873000452,22723.785873000452,22723.785873000452,22723.785873000452,54.0,0.017586058776415666,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T07%3A24%3A19.656172%2B00%3A00,1,0,14250.378976999855,14250.378976999855,14250.378976999855,14250.378976999855,54.0,0.017586058776415666,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T07%3A24%3A19.766223%2B00%3A00,1,0,22654.645176000486,22654.645176000486,22654.645176000486,22654.645176000486,54.0,0.017586058776415666,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T07%3A24%3A24.779716%2B00%3A00,1,0,14609.097206001024,14609.097206001024,14609.097206001024,14609.097206001024,54.0,0.017586058776415666,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
POST,/api/v1/auth/login,61,0,27000.0,27856.494100901622,5228.05490599967,51639.141343999654,206.0,1.0727495853613556,0.0,27000,36000,39000,41000,49000,51000,52000,52000,52000,52000,52000
,Aggregated,118,0,15000.0,20000.62255922882,5228.05490599967,51639.141343999654,489.27966101694915,2.0751549356170487,0.0,15000,22000,28000,34000,42000,50000,51000,52000,52000,52000,52000
