Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A45.619441%2B00%3A00,1,0,1506.0027380022802,1506.0027380022802,1506.0027380022802,1506.0027380022802,57.0,0.01735432706601488,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A45.622047%2B00%3A00,1,0,1502.973747003125,1502.973747003125,1502.973747003125,1502.973747003125,57.0,0.01735432706601488,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A45.946254%2B00%3A00,1,0,1678.4990509986528,1678.4990509986528,1678.4990509986528,1678.4990509986528,57.0,0.01735432706601488,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A45.948995%2B00%3A00,1,0,1753.8257780033746,1753.8257780033746,1753.8257780033746,1753.8257780033746,57.0,0.01735432706601488,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A47.206554%2B00%3A00,1,0,1858.3960269970703,1858.3960269970703,1858.3960269970703,1858.3960269970703,57.0,0.01735432706601488,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A47.237263%2B00%3A00,1,0,1969.3810479948297,1969.3810479948297,1969.3810479948297,1969.3810479948297,57.0,0.01735432706601488,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A47.316170%2B00%3A00,1,0,1426.0909119984717,1426.0909119984717,1426.0909119984717,1426.0909119984717,57.0,0.01735432706601488,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A47.475813%2B00%3A00,1,0,1566.8651660016621,1566.8651660016621,1566.8651660016621,1566.8651660016621,57.0,0.01735432706601488,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A47.497999%2B00%3A00,1,0,1703.402092003671,1703.402092003671,1703.402092003671,1703.402092003671,57.0,0.01735432706601488,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A48.400558%2B00%3A00,1,0,1195.491011996637,1195.491011996637,1195.491011996637,1195.491011996637,57.0,0.01735432706601488,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A48.416861%2B00%3A00,1,0,1783.4485460043652,1783.4485460043652,1783.4485460043652,1783.4485460043652,57.0,0.01735432706601488,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A48.583394%2B00%3A00,1,0,424.1596049978398,424.1596049978398,424.1596049978398,424.1596049978398,57.0,0.01735432706601488,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A48.681003%2B00%3A00,1,0,1344.5881540028495,1344.5881540028495,1344.5881540028495,1344.5881540028495,57.0,0.01735432706601488,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A48.906179%2B00%3A00,1,0,689.1975569960778,689.1975569960778,689.1975569960778,689.1975569960778,57.0,0.01735432706601488,0.0,690,690,690,690,690,690,690,690,690,690,690
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A49.017854%2B00%3A00,1,0,625.9718999936013,625.9718999936013,625.9718999936013,625.9718999936013,57.0,0.01735432706601488,0.0,630,630,630,630,630,630,630,630,630,630,630
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A49.023715%2B00%3A00,1,0,1113.2079500021064,1113.2079500021064,1113.2079500021064,1113.2079500021064,57.0,0.01735432706601488,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A49.183365%2B00%3A00,1,0,978.1407349946676,978.1407349946676,978.1407349946676,978.1407349946676,57.0,0.01735432706601488,0.0,980,980,980,980,980,980,980,980,980,980,980
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A49.560399%2B00%3A00,1,0,1284.4752410019282,1284.4752410019282,1284.4752410019282,1284.4752410019282,57.0,0.01735432706601488,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A49.804458%2B00%3A00,1,0,919.1607399989152,919.1607399989152,919.1607399989152,919.1607399989152,57.0,0.01735432706601488,0.0,920,920,920,920,920,920,920,920,920,920,920
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A50.051846%2B00%3A00,1,0,556.5168510001968,556.5168510001968,556.5168510001968,556.5168510001968,57.0,0.01735432706601488,0.0,560,560,560,560,560,560,560,560,560,560,560
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A50.202038%2B00%3A00,1,0,392.98159700410906,392.98159700410906,392.98159700410906,392.98159700410906,57.0,0.01735432706601488,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A50.249345%2B00%3A00,1,0,604.6293330000481,604.6293330000481,604.6293330000481,604.6293330000481,57.0,0.01735432706601488,0.0,600,600,600,600,600,600,600,600,600,600,600
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-14T05%3A54%3A50.549793%2B00%3A00,1,0,654.6430300004431,654.6430300004431,654.6430300004431,654.6430300004431,57.0,0.01735432706601488,0.0,650,650,650,650,650,650,650,650,650,650,650
