Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/accounts,133,0,4100.0,5205.68574933831,2792.5085930000932,18246.900015998108,913.0,2.3406407042139143,0.0,4100,4700,5300,5800,9000,12000,14000,15000,18000,18000,18000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A06%3A59.807980%2B00%3A00,1,0,10972.386122000898,10972.386122000898,10972.386122000898,10972.386122000898,56.0,0.017598802287322666,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A01.548529%2B00%3A00,1,0,9808.56499299989,9808.56499299989,9808.56499299989,9808.56499299989,56.0,0.017598802287322666,0.0,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A02.672835%2B00%3A00,1,0,9562.848256999132,9562.848256999132,9562.848256999132,9562.848256999132,56.0,0.017598802287322666,0.0,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A02.715798%2B00%3A00,1,0,9521.55921600206,9521.55921600206,9521.55921600206,9521.55921600206,56.0,0.017598802287322666,0.0,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A03.711183%2B00%3A00,1,0,9907.308327001374,9907.308327001374,9907.308327001374,9907.308327001374,56.0,0.017598802287322666,0.0,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A04.471803%2B00%3A00,1,0,8283.788069998991,8283.788069998991,8283.788069998991,8283.788069998991,56.0,0.017598802287322666,0.0,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A05.133406%2B00%3A00,1,0,8483.625159999065,8483.625159999065,8483.625159999065,8483.625159999065,56.0,0.017598802287322666,0.0,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A06.020084%2B00%3A00,1,0,7938.035581999429,7938.035581999429,7938.035581999429,7938.035581999429,56.0,0.017598802287322666,0.0,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A06.052429%2B00%3A00,1,0,7903.597053998965,7903.597053998965,7903.597053998965,7903.597053998965,56.0,0.017598802287322666,0.0,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A07.026241%2B00%3A00,1,0,16120.852046999062,16120.852046999062,16120.852046999062,16120.852046999062,56.0,0.017598802287322666,0.0,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A08.420236%2B00%3A00,1,0,6871.1588160003885,6871.1588160003885,6871.1588160003885,6871.1588160003885,56.0,0.017598802287322666,0.0,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A08.423205%2B00%3A00,1,0,6868.492468998738,6868.492468998738,6868.492468998738,6868.492468998738,56.0,0.017598802287322666,0.0,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A08.453617%2B00%3A00,1,0,6837.487273001898,6837.487273001898,6837.487273001898,6837.487273001898,56.0,0.017598802287322666,0.0,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A08.819596%2B00%3A00,1,0,14311.528359001386,14311.528359001386,14311.528359001386,14311.528359001386,56.0,0.017598802287322666,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A09.977443%2B00%3A00,1,0,7189.381868996861,7189.381868996861,7189.381868996861,7189.381868996861,56.0,0.017598802287322666,0.0,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A10.456143%2B00%3A00,1,0,6706.683866003004,6706.683866003004,6706.683866003004,6706.683866003004,56.0,0.017598802287322666,0.0,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A10.472428%2B00%3A00,1,0,6708.59809600006,6708.59809600006,6708.59809600006,6708.59809600006,56.0,0.017598802287322666,0.0,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A10.792101%2B00%3A00,1,0,6912.316709000152,6912.316709000152,6912.316709000152,6912.316709000152,56.0,0.017598802287322666,0.0,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A11.117138%2B00%3A00,1,0,6919.058174000384,6919.058174000384,6919.058174000384,6919.058174000384,56.0,0.017598802287322666,0.0,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A11.359547%2B00%3A00,1,0,7028.08675399865,7028.08675399865,7028.08675399865,7028.08675399865,56.0,0.017598802287322666,0.0,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A13.265636%2B00%3A00,1,0,9240.459512002417,9240.459512002417,9240.459512002417,9240.459512002417,56.0,0.017598802287322666,0.0,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A13.940937%2B00%3A00,1,0,9197.802203998435,9197.802203998435,9197.802203998435,9197.802203998435,56.0,0.017598802287322666,0.0,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T09%3A07%3A13.956582%2B00%3A00,1,0,9181.007746999967,9181.007746999967,9181.007746999967,9181.007746999967,56.0,0.017598802287322666,0.0,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
