Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/accounts,99,6,2600.0,4343.789021888921,607.979484997486,16942.06752300306,1656.939393939394,1.7544129738107208,0.10632805901883156,2600,4600,5900,6700,12000,12000,14000,17000,17000,17000,17000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A58%3A54.610578%2B00%3A00,1,0,6482.317514000897,6482.317514000897,6482.317514000897,6482.317514000897,55.0,0.01772134316980526,0.0,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A58%3A57.307350%2B00%3A00,1,0,3262.4667109994334,3262.4667109994334,3262.4667109994334,3262.4667109994334,55.0,0.01772134316980526,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A58%3A57.626119%2B00%3A00,1,0,3169.026441002643,3169.026441002643,3169.026441002643,3169.026441002643,55.0,0.01772134316980526,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A01.091727%2B00%3A00,1,0,2984.997769999609,2984.997769999609,2984.997769999609,2984.997769999609,55.0,0.01772134316980526,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A01.150211%2B00%3A00,1,0,6856.918681001844,6856.918681001844,6856.918681001844,6856.918681001844,56.0,0.01772134316980526,0.0,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A01.424711%2B00%3A00,1,0,3592.5868740014266,3592.5868740014266,3592.5868740014266,3592.5868740014266,55.0,0.01772134316980526,0.0,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A02.073956%2B00%3A00,1,0,4655.138829002681,4655.138829002681,4655.138829002681,4655.138829002681,56.0,0.01772134316980526,0.0,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A02.196970%2B00%3A00,1,0,4531.886473996565,4531.886473996565,4531.886473996565,4531.886473996565,56.0,0.01772134316980526,0.0,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A03.077499%2B00%3A00,1,0,5790.454286998283,5790.454286998283,5790.454286998283,5790.454286998283,56.0,0.01772134316980526,0.0,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A03.389050%2B00%3A00,1,0,3561.123260999011,3561.123260999011,3561.123260999011,3561.123260999011,56.0,0.01772134316980526,0.0,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A03.401755%2B00%3A00,1,0,5925.702593001915,5925.702593001915,5925.702593001915,5925.702593001915,56.0,0.01772134316980526,0.0,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A03.524621%2B00%3A00,1,0,3203.9956119988346,3203.9956119988346,3203.9956119988346,3203.9956119988346,56.0,0.01772134316980526,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A05.007217%2B00%3A00,1,0,4312.83925200114,4312.83925200114,4312.83925200114,4312.83925200114,56.0,0.01772134316980526,0.0,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A05.011694%2B00%3A00,1,0,6409.342955001193,6409.342955001193,6409.342955001193,6409.342955001193,56.0,0.01772134316980526,0.0,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A05.717337%2B00%3A00,1,0,2452.3042239998176,2452.3042239998176,2452.3042239998176,2452.3042239998176,56.0,0.01772134316980526,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A06.157570%2B00%3A00,1,0,3830.367095000838,3830.367095000838,3830.367095000838,3830.367095000838,56.0,0.01772134316980526,0.0,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A06.381928%2B00%3A00,1,0,2029.3381739975302,2029.3381739975302,2029.3381739975302,2029.3381739975302,56.0,0.01772134316980526,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A06.440350%2B00%3A00,1,0,1970.618678999017,1970.618678999017,1970.618678999017,1970.618678999017,56.0,0.01772134316980526,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A06.441399%2B00%3A00,1,0,2092.1673490011017,2092.1673490011017,2092.1673490011017,2092.1673490011017,56.0,0.01772134316980526,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A06.934862%2B00%3A00,1,0,3205.255089000275,3205.255089000275,3205.255089000275,3205.255089000275,56.0,0.01772134316980526,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A06.948984%2B00%3A00,1,0,3269.96673100075,3269.96673100075,3269.96673100075,3269.96673100075,56.0,0.01772134316980526,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A07.234593%2B00%3A00,1,0,1979.2531980019703,1979.2531980019703,1979.2531980019703,1979.2531980019703,56.0,0.01772134316980526,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A07.771517%2B00%3A00,1,0,2005.9316669976397,2005.9316669976397,2005.9316669976397,2005.9316669976397,56.0,0.01772134316980526,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A07.919215%2B00%3A00,1,0,1440.858242000104,1440.858242000104,1440.858242000104,1440.858242000104,56.0,0.01772134316980526,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/v1/accounts/fef8369e-48c1-42fc-bb85-5df4bec0f04a/balance?as_of=2026-06-12T08%3A59%3A08.743703%2B00%3A00,1,0,1708.0333850026364,1708.0333850026364,1708.0333850026364,1708.0333850026364,56.0,0.01772134316980526,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
