Method,Name,Error,Occurrences
POST,/api/v1/auth/login,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/auth/login'),1
GET,/api/v1/accounts,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/accounts'),1
